Device,CO,PM1,PM2.5,PM10,C02,RELHUM,TEMP©,PRES(HPA),LAT,LON,Battery %,Cell-Strength(),Date,Time stamp,Time
1379,0.82,0,0,0,N/A,74.8,20.7,1009.1,N/A,N/A,84.48,0,7/14/2025,22:13:59,
1379,0.44,0,0,0,N/A,74.7,20.7,1009.1,N/A,N/A,84.48,99,7/14/2025,22:14:01,
1379,0.56,0,0,0,124,74.7,20.7,1009.1,N/A,N/A,84.48,99,7/14/2025,22:14:04,
1379,0.35,0,0,0,124,74.7,20.7,1009.1,N/A,N/A,84.48,99,7/14/2025,22:14:07,
1379,0.31,0,0,0,265,74.7,20.7,1009.1,N/A,N/A,84.48,99,7/14/2025,22:14:10,
1379,0.39,0,0,0,265,74.7,20.7,1009.1,N/A,N/A,84.48,99,7/14/2025,22:14:13,
1379,0.5,0,0,0,404,74.7,20.7,1009.1,N/A,N/A,84.48,99,7/14/2025,22:14:16,
1379,0.54,0,0,0,491,74.7,20.7,1009.1,N/A,N/A,84.48,15,7/14/2025,22:14:19,
1379,0.29,0,0,1,491,74.7,20.7,1009.1,N/A,N/A,84.48,15,7/14/2025,22:14:22,
1379,0.32,0,0,1,506,74.7,20.7,1009.1,N/A,N/A,84.48,15,7/14/2025,22:14:25,
1379,0.36,0,0,1,506,74.7,20.8,1009.1,N/A,N/A,84.48,15,7/14/2025,22:14:28,
1379,0.44,0,0,1,511,74.7,20.7,1009.1,N/A,N/A,84.48,15,7/14/2025,22:14:31,
1379,0.32,0,0,1,514,74.6,20.8,1009.1,N/A,N/A,84.48,15,7/14/2025,22:14:34,
1379,0.32,0,0,1,514,74.6,20.8,1009.1,N/A,N/A,84.48,15,7/14/2025,22:14:37,
1379,0.4,0,0,1,514,74.6,20.8,1009.1,N/A,N/A,84.48,15,7/14/2025,22:14:40,
1379,0.43,0,2,3,514,74.6,20.8,1009.1,N/A,N/A,84.48,15,7/14/2025,22:14:43,
1379,0.3,0,2,3,515,74.7,20.8,1009.1,N/A,N/A,84.48,15,7/14/2025,22:14:46,
1379,0.43,0,2,3,515,74.6,20.8,1009.1,N/A,N/A,84.48,15,7/14/2025,22:14:49,
1379,0.35,0,3,3,515,74.6,20.8,1009.1,N/A,N/A,84.48,15,7/14/2025,22:14:52,
1379,0.48,0,3,3,515,74.5,20.8,1009.1,N/A,N/A,84.48,15,7/14/2025,22:14:55,
1379,0.33,0,3,4,515,74.5,20.9,1009.1,N/A,N/A,84.48,15,7/14/2025,22:14:58,
1379,0.33,0,5,5,516,74.2,20.9,1009.1,N/A,N/A,84.48,15,7/14/2025,22:15:12,
1379,0.41,0,4,4,516,74.2,20.9,1009.1,N/A,N/A,84.48,15,7/14/2025,22:15:16,
1379,0.41,1,4,4,516,74.1,20.9,1009.1,N/A,N/A,84.48,15,7/14/2025,22:15:18,
1379,0.31,1,4,4,516,74.1,21,1009.1,N/A,N/A,84.48,15,7/14/2025,22:15:21,
1379,0.28,1,4,4,515,74,21,1009.1,N/A,N/A,84.48,15,7/14/2025,22:15:25,
1379,0.29,0,3,3,518,72.8,21.4,1009.1,N/A,N/A,84.48,15,7/14/2025,6:17:09,
1379,0.35,0,3,3,520,72,21.5,1009.1,N/A,N/A,84.48,15,7/14/2025,12:17:00,
1379,0.46,0,3,3,520,72,21.6,1009.1,N/A,N/A,84.48,15,7/14/2025,12:17:03,
1379,0.34,0,3,3,520,71.9,21.6,1009.1,N/A,N/A,84.48,15,7/14/2025,12:17:06,
1379,0.34,0,3,3,520,71.9,21.6,1009.1,N/A,N/A,84.48,15,7/14/2025,12:17:09,
1379,0.3,0,3,3,520,71.9,21.6,1009,N/A,N/A,84.48,15,7/14/2025,12:17:12,
