Device,CO,PM1,PM2.5,PM10,C02,RELHUM,TEMP©,PRES(HPA),LAT,LON,Battery %,Cell-Strength(),Date,Time stamp,Time
1379,1.93,13,17,17,N/A,68.7,27,1012.8,N/A,N/A,86.2,0,7/16/2025,9:27:49,13:27:49
1379,1.59,12,17,17,N/A,68.5,27.1,1012.8,N/A,N/A,86.2,99,7/16/2025,9:27:52,13:27:52
1379,1.14,12,17,17,295,67.4,27.3,1012.8,N/A,N/A,86.2,99,7/16/2025,9:28:05,13:28:05
1379,1.11,12,17,17,439,66.7,27.6,1012.8,N/A,N/A,86.2,29,7/16/2025,9:28:18,13:28:18
1379,1.14,11,16,16,453,66.6,27.6,1012.9,N/A,N/A,86.2,28,7/16/2025,9:28:22,13:28:22
1379,1.21,11,16,16,458,66.6,27.7,1012.9,N/A,N/A,86.2,28,7/16/2025,9:28:25,13:28:25
1379,0.89,10,16,16,456,66.4,27.8,1012.9,N/A,N/A,86.2,28,7/16/2025,9:28:38,13:28:38
1379,1.04,10,16,16,457,66.4,27.9,1013,N/A,N/A,86.2,28,7/16/2025,9:28:42,13:28:42
1379,1.11,7,11,12,458,66.4,27.9,1013,N/A,N/A,86.2,28,7/16/2025,9:28:45,13:28:45
1379,1.06,8,11,12,459,66.2,28.1,1013.1,N/A,N/A,86.2,28,7/16/2025,9:28:58,13:28:58
1379,1.02,8,12,12,460,66.1,28.1,1013.2,N/A,N/A,86.06,27,7/16/2025,9:29:02,13:29:02
1379,1.16,8,12,13,460,66,28.2,1013.2,N/A,N/A,86.06,30,7/16/2025,9:29:05,13:29:05
1379,1.38,8,12,13,460,65.9,28.4,1013.3,N/A,N/A,86.06,30,7/16/2025,9:29:18,13:29:18
1379,1,9,13,14,462,66.3,28.4,1013.3,N/A,N/A,86.06,30,7/16/2025,9:29:22,13:29:22
1379,1.16,9,14,14,462,66,28.5,1013.3,N/A,N/A,86.06,30,7/16/2025,9:29:25,13:29:25
1379,1.13,8,16,16,463,65.4,28.6,1013.4,N/A,N/A,86.06,30,7/16/2025,9:29:38,13:29:38
1379,1.18,8,16,16,463,65.8,28.6,1013.5,N/A,N/A,86.06,31,7/16/2025,9:29:42,13:29:42
1379,1.38,8,16,16,464,65.7,28.6,1013.5,N/A,N/A,86.06,31,7/16/2025,9:29:45,13:29:45
1379,1.85,8,19,20,464,65,28.7,1013.5,N/A,N/A,86.06,31,7/16/2025,9:29:58,13:29:58
1379,1.87,7,15,15,464,65.1,28.8,1013.6,N/A,N/A,85.91,29,7/16/2025,9:30:02,13:30:02
1379,2.18,7,15,15,464,65.1,28.8,1013.6,N/A,N/A,85.91,31,7/16/2025,9:30:05,13:30:05
1379,5.78,7,14,15,464,64.9,29,1013.7,N/A,N/A,85.91,31,7/16/2025,9:30:18,13:30:18
1379,6.55,8,15,15,465,65.7,29,1013.8,N/A,N/A,85.91,29,7/16/2025,9:30:22,13:30:22
1379,6.56,8,15,15,465,65.2,29,1013.9,N/A,N/A,85.91,29,7/16/2025,9:30:25,13:30:25
1379,6.75,8,15,16,475,64.7,29.1,1014,N/A,N/A,85.91,29,7/16/2025,9:30:38,13:30:38
1379,6.91,10,24,27,490,64.5,29.1,1014.1,N/A,N/A,85.91,31,7/16/2025,9:30:42,13:30:42
1379,6.98,11,24,27,516,64.9,29.1,1014.1,N/A,N/A,85.91,24,7/16/2025,9:30:45,13:30:45
1379,3.35,11,24,27,523,66.6,29.3,1014.2,N/A,N/A,85.77,16,7/16/2025,9:30:58,13:30:58
1379,2.74,11,24,27,525,66.7,29.4,1014.2,N/A,N/A,85.77,24,7/16/2025,9:31:02,13:31:02
1379,2.59,9,21,24,526,66.9,29.4,1014.3,N/A,N/A,85.77,24,7/16/2025,9:31:05,13:31:05
1379,1.49,9,21,23,528,66.5,29.5,1014.5,N/A,N/A,85.77,24,7/16/2025,9:31:18,13:31:18
1379,1.5,8,20,22,533,66.1,29.6,1014.4,N/A,N/A,85.77,24,7/16/2025,9:31:22,13:31:22
1379,1.68,8,20,22,541,65.8,29.6,1014.4,N/A,N/A,85.77,19,7/16/2025,9:31:25,13:31:25
1379,1.52,9,20,22,548,64.5,29.8,1014.4,N/A,N/A,85.77,19,7/16/2025,9:31:38,13:31:38
1379,1.18,10,21,23,551,64.6,29.8,1014.4,N/A,N/A,85.77,25,7/16/2025,9:31:42,13:31:42
1379,1.45,10,21,23,553,64.5,29.8,1014.4,N/A,N/A,85.77,29,7/16/2025,9:31:45,13:31:45
1379,1.22,10,21,23,556,64.8,29.9,1014.4,N/A,N/A,85.63,29,7/16/2025,9:31:58,13:31:58
1379,1.17,9,20,22,557,64,29.9,1014.3,N/A,N/A,85.63,30,7/16/2025,9:32:02,13:32:02
1379,1.36,9,20,22,559,63.2,30,1014.3,N/A,N/A,85.63,26,7/16/2025,9:32:05,13:32:05
1379,1.49,9,20,22,565,63.3,30.1,1014.3,N/A,N/A,85.63,26,7/16/2025,9:32:18,13:32:18
1379,1.41,9,19,22,568,63,30.1,1014.3,N/A,N/A,85.63,30,7/16/2025,9:32:22,13:32:22
1379,1.46,9,19,22,570,62.8,30.2,1014.4,N/A,N/A,85.63,30,7/16/2025,9:32:25,13:32:25
1379,1.1,9,20,22,572,62.6,30.3,1014.4,N/A,N/A,85.63,30,7/16/2025,9:32:38,13:32:38
1379,1.26,8,20,22,572,62.6,30.4,1014.4,N/A,N/A,85.63,28,7/16/2025,9:32:42,13:32:42
1379,1.25,10,20,23,571,62.6,30.4,1014.4,N/A,N/A,85.48,28,7/16/2025,9:32:45,13:32:45
1379,0.98,11,20,23,571,61.7,30.7,1014.4,N/A,N/A,85.48,28,7/16/2025,9:32:58,13:32:58
1379,1.11,11,21,23,570,61.6,30.9,1014.4,N/A,N/A,85.48,25,7/16/2025,9:33:02,13:33:02
1379,1.28,16,30,36,570,61.6,30.8,1014.4,N/A,N/A,85.48,17,7/16/2025,9:33:05,13:33:05
1379,0.87,17,30,41,569,61.5,31,1014.4,N/A,N/A,85.48,17,7/16/2025,9:33:18,13:33:18
1379,1.27,17,30,41,568,61.5,31.1,1014.4,N/A,N/A,85.48,28,7/16/2025,9:33:22,13:33:22
1379,1.27,18,32,42,567,61.4,31.1,1014.4,N/A,N/A,85.48,16,7/16/2025,9:33:25,13:33:25
1379,0.94,18,32,42,566,61.1,31.2,1014.4,N/A,N/A,85.34,16,7/16/2025,9:33:38,13:33:38
1379,1.06,17,31,40,566,61,31.2,1014.4,N/A,N/A,85.34,25,7/16/2025,9:33:42,13:33:42
1379,1.32,17,31,40,565,60.8,31.2,1014.4,N/A,N/A,85.34,25,7/16/2025,9:33:45,13:33:45
1379,1.03,19,33,44,565,60.7,31.3,1014.3,N/A,N/A,85.34,25,7/16/2025,9:33:58,13:33:58
1379,1,19,33,44,565,60.5,31.3,1014.3,N/A,N/A,85.34,27,7/16/2025,9:34:02,13:34:02
1379,1.38,19,34,44,565,60.9,31.3,1014.3,N/A,N/A,85.34,27,7/16/2025,9:34:05,13:34:05
1379,1.94,19,34,44,564,60.1,31.4,1014.3,N/A,N/A,85.34,27,7/16/2025,9:34:18,13:34:18
1379,2.07,19,33,43,563,60.2,31.4,1014.3,N/A,N/A,85.34,27,7/16/2025,9:34:22,13:34:22
1379,2.26,19,33,43,562,60.4,31.4,1014.3,N/A,N/A,85.34,27,7/16/2025,9:34:25,13:34:25
1379,1.8,19,34,40,563,60.9,31.4,1014.3,N/A,N/A,85.34,27,7/16/2025,9:34:38,13:34:38
1379,1.74,19,34,40,565,61.7,31.4,1014.3,N/A,N/A,85.2,26,7/16/2025,9:34:42,13:34:42
1379,2.09,18,30,36,566,62.3,31.4,1014.3,N/A,N/A,85.2,26,7/16/2025,9:34:45,13:34:45
1379,1.76,18,30,36,574,60.9,31.5,1014.4,N/A,N/A,85.2,26,7/16/2025,9:34:59,13:34:59
1379,1.87,18,30,36,576,60.5,31.5,1014.4,N/A,N/A,85.2,24,7/16/2025,9:35:03,13:35:03
1379,1.87,18,30,36,578,60.4,31.5,1014.4,N/A,N/A,85.2,28,7/16/2025,9:35:06,13:35:06
1379,1.74,18,30,36,581,59.6,31.6,1014.4,N/A,N/A,85.2,28,7/16/2025,9:35:19,13:35:19
1379,1.81,18,30,36,580,59.4,31.6,1014.4,N/A,N/A,85.2,25,7/16/2025,9:35:23,13:35:23
1379,1.87,18,30,36,580,59.9,31.6,1014.4,N/A,N/A,85.2,25,7/16/2025,9:35:26,13:35:26
1379,1.88,17,28,33,580,59.7,31.7,1014.4,N/A,N/A,85.05,25,7/16/2025,9:35:39,13:35:39
1379,1.94,17,28,33,579,59.5,31.7,1014.4,N/A,N/A,85.05,28,7/16/2025,9:35:43,13:35:43
1379,1.94,17,28,33,579,59.5,31.7,1014.4,N/A,N/A,85.05,28,7/16/2025,9:35:46,13:35:46
1379,1.44,16,28,31,580,58.6,31.8,1014.4,N/A,N/A,85.05,21,7/16/2025,9:35:59,13:35:59
1379,1.45,16,28,31,581,58.5,31.8,1014.4,N/A,N/A,85.05,28,7/16/2025,9:36:03,13:36:03
1379,1.68,16,27,31,580,58.5,31.9,1014.4,N/A,N/A,85.05,25,7/16/2025,9:36:06,13:36:06
1379,1.42,16,27,31,580,58.4,31.9,1014.4,N/A,N/A,84.91,16,7/16/2025,9:36:19,13:36:19
1379,1.46,17,27,31,580,58,31.9,1014.4,N/A,N/A,84.91,27,7/16/2025,9:36:23,13:36:23
1379,1.63,17,27,31,581,58,32,1014.4,N/A,N/A,84.91,18,7/16/2025,9:36:26,13:36:26
1379,1.77,17,27,31,582,58.5,32,1014.4,N/A,N/A,84.91,18,7/16/2025,9:36:39,13:36:39
1379,2.2,16,26,30,583,58.1,32,1014.4,N/A,N/A,84.91,28,7/16/2025,9:36:44,13:36:44
1379,2.22,16,26,30,584,57.9,32.1,1014.4,N/A,N/A,84.91,18,7/16/2025,9:36:48,13:36:48
1379,1.54,16,26,30,586,57.4,32.1,1014.4,N/A,N/A,84.91,18,7/16/2025,9:37:01,13:37:01
