Device,CO,PM1,PM2.5,PM10,C02,RELHUM,TEMP©,PRES(HPA),LAT,LON,Battery %,Cell-Strength(),Date,Time
1379,2.7,15,33,64,228,77.5,23,1020.2,N/A,N/A,77.32,00,7/24/2025,14:38:12
1379,2.39,15,33,63,229,74.3,23.1,1020.2,N/A,N/A,77.32,99,7/24/2025,14:38:16
1379,1.34,15,33,62,932,61.1,22.8,1020.2,N/A,N/A,77.32,99,7/24/2025,14:38:29
1379,1.15,15,32,61,1012,64.2,22.8,1020.2,N/A,N/A,77.16,26,7/24/2025,14:38:33
1379,1.2,15,32,60,1012,65.6,22.9,1020.2,N/A,N/A,77.16,19,7/24/2025,14:38:36
1379,1.14,15,32,60,1265,69.2,23,1020.3,N/A,N/A,77.16,19,7/24/2025,14:38:49
1379,1.2,15,32,58,1330,70,23,1020.3,N/A,N/A,77.16,31,7/24/2025,14:38:53
1379,1.19,15,32,58,1330,70.8,23.1,1020.3,N/A,N/A,77.16,31,7/24/2025,14:38:56
1379,1.09,7,20,28,1805,69.4,23.2,1020.3,N/A,N/A,77.16,31,7/24/2025,14:39:09
1379,1.36,7,20,27,1938,68.3,23.2,1020.2,N/A,N/A,77.16,31,7/24/2025,14:39:13
1379,1.16,7,20,27,1938,66.3,23.2,1020.2,N/A,N/A,77.16,31,7/24/2025,14:39:16
1379,1.24,7,20,27,2084,64.9,23.4,1020.2,N/A,N/A,77.16,31,7/24/2025,14:39:29
1379,1.57,8,20,26,2083,64.8,23.5,1020.1,N/A,N/A,77,31,7/24/2025,14:39:42
1379,1.76,8,20,26,2151,62.7,23.5,1020,N/A,N/A,77,31,7/24/2025,14:39:57
1379,1.6,8,20,26,2151,64.5,23.5,1020,N/A,N/A,77,99,7/24/2025,14:40:02
1379,1.6,10,24,29,2243,66,23.5,1019.9,N/A,N/A,77,99,7/24/2025,14:40:05
1379,1.53,10,24,28,3167,64.2,23.4,1019.8,N/A,N/A,77,99,7/24/2025,14:40:18
1379,1.42,9,24,28,3342,63.6,23.4,1019.7,N/A,N/A,76.83,99,7/24/2025,14:40:31
1379,1.58,9,24,28,3293,63.1,23.4,1019.6,N/A,N/A,76.83,99,7/24/2025,14:40:44
1379,1.95,9,24,27,3031,66.6,23.6,1019.5,N/A,N/A,76.83,99,7/24/2025,14:40:57
1379,1.55,8,24,26,3054,69.6,23.7,1019.4,N/A,N/A,76.83,99,7/24/2025,14:41:10
1379,1.47,8,23,26,3256,69.4,23.8,1019.3,N/A,N/A,76.83,30,7/24/2025,14:41:14
1379,1.54,8,23,26,3256,69,23.8,1019.3,N/A,N/A,76.83,30,7/24/2025,14:41:17
1379,1.5,6,21,25,3463,70.7,24,1019.2,N/A,N/A,76.83,30,7/24/2025,14:41:30
1379,1.27,6,21,24,3474,69.1,24,1019.2,N/A,N/A,76.67,30,7/24/2025,14:41:34
1379,1.37,6,21,24,3474,68.9,24,1019.2,N/A,N/A,76.67,16,7/24/2025,14:41:37
1379,1.85,6,21,24,3455,68.3,24.2,1019.2,N/A,N/A,76.67,16,7/24/2025,14:41:50
1379,1.7,7,20,21,3422,69.6,24.2,1019.1,N/A,N/A,76.67,11,7/24/2025,14:41:54
1379,1.65,7,20,21,3422,70.3,24.2,1019.2,N/A,N/A,76.67,11,7/24/2025,14:41:57
1379,1.41,7,20,21,3351,71.7,24.4,1019.4,N/A,N/A,76.67,11,7/24/2025,14:42:10
1379,1.25,12,26,27,3354,71.7,24.4,1019.4,N/A,N/A,76.67,11,7/24/2025,14:42:14
1379,1.35,12,26,28,3354,71.2,24.4,1019.5,N/A,N/A,76.67,11,7/24/2025,14:42:17
1379,1.04,8,22,25,3354,67.3,24.5,1019.9,N/A,N/A,76.51,11,7/24/2025,14:42:30
1379,1.24,8,22,25,3071,64.8,24.6,1020.3,N/A,N/A,76.51,11,7/24/2025,14:42:43
1379,1.17,8,21,26,2272,63,24.6,1020.8,N/A,N/A,76.51,11,7/24/2025,14:42:59
1379,1.52,8,21,26,2124,63.1,24.6,1021.2,N/A,N/A,76.51,99,7/24/2025,14:43:03
