time_stamp,humidity,temperature,pressure,pm1.0_atm,pm2.5_atm,pm10.0_atm
2025-07-14T00:00:24-04:00,36,80,1005.13,1.5,2.8,3
2025-07-14T00:02:24-04:00,36,80,1005.07,1.7,2.6,2.6
2025-07-14T00:04:24-04:00,36,80,1005.11,1.5,2.6,2.8
2025-07-14T00:06:24-04:00,36,80,1005.14,1.4,2.8,3.1
2025-07-14T00:08:24-04:00,36,80,1005.12,1.9,2.6,2.7
2025-07-14T00:10:24-04:00,36,80,1005.15,1.9,3.2,3.2
2025-07-14T00:12:24-04:00,36,80,1005.14,1.4,2.3,2.5
2025-07-14T00:14:24-04:00,36,80,1005.13,1.7,3,3.3
2025-07-14T00:16:24-04:00,36,80,1005.07,1.7,3.2,3.2
2025-07-14T00:18:24-04:00,36,80,1005.18,1.7,2.5,3
2025-07-14T00:20:24-04:00,36,80,1005.15,1.4,3,3.6
2025-07-14T00:22:24-04:00,36,80,1005.16,1.4,2.8,3.3
2025-07-14T00:24:24-04:00,36,79,1005.16,2,3.1,3.3
2025-07-14T00:26:24-04:00,36,79,1005.11,1.7,3.2,3.2
2025-07-14T00:28:24-04:00,36,79,1005.18,1.7,3.1,3.1
2025-07-14T00:30:24-04:00,36,79,1005.22,1.9,3.1,3.1
2025-07-14T00:32:24-04:00,36,79,1005.14,1.7,2.7,3.1
2025-07-14T00:34:24-04:00,37,79,1005.23,1.6,3.1,3.2
2025-07-14T00:36:24-04:00,37,79,1005.27,1.4,2.8,2.8
2025-07-14T00:38:24-04:00,37,79,1005.3,1.4,3,3.2
2025-07-14T00:40:24-04:00,37,79,1005.34,1.2,3.2,3.2
2025-07-14T00:42:24-04:00,37,79,1005.3,1.3,2.3,2.3
2025-07-14T00:44:24-04:00,37,79,1005.38,1.3,3,3
2025-07-14T00:46:24-04:00,37,79,1005.39,1.6,3,3
2025-07-14T00:48:24-04:00,37,79,1005.39,2,3.9,4.1
2025-07-14T00:50:24-04:00,37,79,1005.44,2.2,3.2,3.5
2025-07-14T00:52:24-04:00,37,79,1005.45,1.9,3.4,3.4
2025-07-14T00:54:24-04:00,37,79,1005.43,2.2,4,4.2
2025-07-14T00:56:24-04:00,37,79,1005.4,2,3.1,3.4
2025-07-14T00:58:24-04:00,37,79,1005.49,1.3,2.5,2.5
2025-07-14T01:00:24-04:00,37,79,1005.33,1.9,3.8,3.8
2025-07-14T01:02:24-04:00,37,79,1005.32,1.6,3.2,3.2
2025-07-14T01:04:24-04:00,37,79,1005.37,1.1,2.2,2.4
2025-07-14T01:06:24-04:00,37,79,1005.34,1,2.7,2.7
2025-07-14T01:08:24-04:00,37,80,1005.27,0.8,1.6,1.8
2025-07-14T01:10:24-04:00,37,80,1005.32,0.9,2.1,2.1
2025-07-14T01:12:24-04:00,37,80,1005.34,1.3,2,2
2025-07-14T01:14:24-04:00,37,80,1005.33,1,2,2.1
2025-07-14T01:16:24-04:00,37,80,1005.36,0.8,2,2.2
2025-07-14T01:18:24-04:00,37,80,1005.35,1.2,1.9,2.4
2025-07-14T01:20:24-04:00,37,80,1005.39,1.1,2.2,2.4
2025-07-14T01:22:24-04:00,36,80,1005.31,1.3,2.6,3
2025-07-14T01:24:24-04:00,36,81,1005.37,0.8,1.8,2.1
2025-07-14T01:26:24-04:00,36,81,1005.3,1.3,1.7,1.7
2025-07-14T01:28:24-04:00,36,81,1005.27,1.6,2.9,2.9
2025-07-14T01:30:24-04:00,36,81,1005.29,0.6,1.8,2.3
2025-07-14T01:32:24-04:00,36,81,1005.3,0.9,1.6,1.8
2025-07-14T01:34:24-04:00,36,81,1005.29,1.1,1.7,1.7
2025-07-14T01:36:24-04:00,36,81,1005.34,0.8,1.8,1.8
2025-07-14T01:38:24-04:00,36,81,1005.45,1.1,1.9,2.2
2025-07-14T01:40:24-04:00,36,81,1005.33,1.2,2,2.2
2025-07-14T01:42:24-04:00,36,81,1005.34,0.9,1.6,2
2025-07-14T01:44:24-04:00,36,81,1005.38,0.6,1.4,1.5
2025-07-14T01:46:25-04:00,36,81,1005.28,0.5,1.5,1.6
2025-07-14T01:48:25-04:00,36,81,1005.3,0.4,1.5,1.6
2025-07-14T01:50:25-04:00,36,81,1005.33,0.7,1,1
