time_stamp,humidity,temperature,pressure,pm1.0_atm,pm2.5_atm,pm10.0_atm
2025-07-24T00:00:21-04:00,25,91,1020.52,0,0,0.1
2025-07-24T00:02:21-04:00,25,90,1020.5,0,0.2,0.2
2025-07-24T00:04:21-04:00,25,89,1019.2,0,0.1,0.1
2025-07-24T00:06:21-04:00,24,90,1020.54,0,0.1,0.1
2025-07-24T00:08:21-04:00,24,90,1020.54,0,0,0.3
2025-07-24T00:10:21-04:00,25,90,1020.59,0,0,0.1
2025-07-24T00:12:21-04:00,26,90,1020.55,0,0.1,0.3
2025-07-24T00:14:21-04:00,27,90,1020.52,0,0,0
2025-07-24T00:16:21-04:00,27,90,1020.51,0,0,0
2025-07-24T00:18:21-04:00,27,90,1020.43,0.2,0.2,0.4
2025-07-24T00:20:21-04:00,27,90,1020.44,0,0,0
2025-07-24T00:22:21-04:00,28,91,1020.46,0,0,0.2
2025-07-24T00:24:21-04:00,27,91,1020.45,0,0,0
2025-07-24T00:26:21-04:00,26,90,1020.41,0.1,0.2,0.2
2025-07-24T00:28:21-04:00,26,90,1020.42,0,0,0
2025-07-24T00:30:21-04:00,25,90,1020.41,0,0,0
2025-07-24T00:32:21-04:00,25,90,1020.42,0,0,0.4
2025-07-24T00:34:21-04:00,26,90,1020.46,0,0,0.2
2025-07-24T00:36:21-04:00,27,90,1020.4,0,0,0
2025-07-24T00:38:21-04:00,27,90,1020.46,0.2,0.5,0.7
2025-07-24T00:40:22-04:00,27,90,1020.46,5.4,11.8,15.8
2025-07-24T00:42:21-04:00,28,90,1020.35,12.1,25.1,32.6
2025-07-24T00:44:22-04:00,28,90,1020.23,10.5,26.3,35.2
2025-07-24T00:46:22-04:00,28,91,1020.44,10.3,22.8,29.7
2025-07-24T00:48:21-04:00,28,91,1020.39,9.6,21.7,26.7
2025-07-24T00:50:22-04:00,29,91,1020.48,7.2,17.1,20.8
2025-07-24T00:52:21-04:00,29,91,1020.48,6.5,16.2,20.3
2025-07-24T00:54:22-04:00,29,91,1020.48,4.6,11,15.6
2025-07-24T00:56:22-04:00,29,91,1020.52,3.9,8.8,11.7
2025-07-24T00:58:21-04:00,29,91,1020.52,3.3,7.1,10.6
2025-07-24T01:00:22-04:00,29,91,1020.62,2.4,6.7,8.8
2025-07-24T01:02:21-04:00,29,91,1020.57,2.6,5.2,7.9
2025-07-24T01:04:22-04:00,29,91,1020.5,1.5,3.6,5.6
2025-07-24T01:06:21-04:00,29,91,1020.49,1.6,3.7,4.5
2025-07-24T01:08:22-04:00,29,91,1020.43,1.2,2.9,4.5
2025-07-24T01:10:22-04:00,29,92,1020.49,1.6,3.4,4.6
2025-07-24T01:12:22-04:00,29,92,1020.43,1.9,3.6,4.6
2025-07-24T01:14:22-04:00,29,92,1020.44,1.6,3.8,4.9
2025-07-24T01:16:21-04:00,29,92,1020.46,1.3,2.9,4.2
2025-07-24T01:18:22-04:00,29,92,1020.5,1.6,3.4,4.6
2025-07-24T01:20:22-04:00,29,92,1020.45,2.2,3.7,4.3
2025-07-24T01:22:22-04:00,29,92,1020.41,1.3,3.2,3.7
2025-07-24T01:24:22-04:00,29,92,1020.38,1.4,2.9,3.8
2025-07-24T01:26:22-04:00,29,92,1020.39,1.2,2.8,3.1
2025-07-24T01:28:22-04:00,29,92,1020.42,1.5,2.6,3.3
2025-07-24T01:30:22-04:00,30,92,1020.42,1.3,2.1,2.8
2025-07-24T01:32:22-04:00,30,92,1020.41,1,2.2,2.9
2025-07-24T01:34:22-04:00,30,92,1020.34,1,2.1,2.5
2025-07-24T01:36:22-04:00,30,92,1020.39,0.9,1.9,2.3
2025-07-24T01:38:22-04:00,30,92,1020.45,0.9,1.8,1.9
2025-07-24T01:40:22-04:00,30,92,1020.44,0.9,2,2.6
2025-07-24T01:42:22-04:00,30,92,1020.37,1,1.7,2.1
2025-07-24T01:44:22-04:00,30,92,1020.34,0.8,1.9,2.5
2025-07-24T01:46:22-04:00,30,92,1020.27,1,1.9,2.5
2025-07-24T01:48:22-04:00,30,92,1020.3,1,1.7,2.1
2025-07-24T01:50:22-04:00,30,92,1020.32,0.9,1.5,1.9
2025-07-24T01:52:22-04:00,30,92,1020.25,0.9,1.8,2
2025-07-24T01:54:22-04:00,30,92,1020.25,0.8,1.2,2.2
2025-07-24T01:56:22-04:00,30,92,1020.24,0.6,1.5,1.6
2025-07-24T01:58:22-04:00,30,92,1020.26,0.9,1.6,2.1
2025-07-24T02:00:22-04:00,30,92,1020.31,0.9,1.6,2
2025-07-24T02:02:22-04:00,30,92,1020.26,0.9,1.8,2.3
2025-07-24T02:04:22-04:00,30,92,1020.3,0.6,1.4,1.5
2025-07-24T02:06:22-04:00,30,92,1020.35,0.9,1.2,1.6
2025-07-24T02:08:22-04:00,30,92,1020.34,0.9,1.3,1.4
2025-07-24T02:10:22-04:00,30,92,1020.33,0.7,1.1,1.5
2025-07-24T02:12:22-04:00,30,92,1020.34,0.8,1.2,1.4
2025-07-24T02:14:22-04:00,30,92,1020.31,0.8,1.2,1.2
2025-07-24T02:16:22-04:00,30,92,1020.31,0.2,0.8,1.2
2025-07-24T02:18:22-04:00,30,92,1020.31,0.7,1.6,2.2
2025-07-24T02:20:22-04:00,30,92,1020.22,0.8,1.4,2.4
2025-07-24T02:22:22-04:00,30,92,1020.3,0.5,0.9,1.2
2025-07-24T02:24:22-04:00,30,92,1020.32,0.6,1.2,1.2
2025-07-24T02:26:22-04:00,30,92,1020.31,0.4,1,1.4
2025-07-24T02:28:22-04:00,30,92,1020.29,0.3,0.9,1.1
2025-07-24T02:30:22-04:00,30,92,1020.29,0.2,0.8,1
2025-07-24T02:32:22-04:00,30,92,1020.31,0.4,1.1,1.3
2025-07-24T02:34:22-04:00,31,92,1020.29,0.2,0.8,1.1
2025-07-24T02:36:22-04:00,31,92,1020.23,0.5,1.2,1.4
2025-07-24T02:38:22-04:00,31,92,1020.21,0.2,0.9,1.1
2025-07-24T02:40:22-04:00,31,92,1020.23,0.6,1.2,1.5
2025-07-24T02:42:22-04:00,31,92,1020.23,0.3,1,1.1
2025-07-24T02:44:22-04:00,31,92,1020.21,0.4,1,1.5
2025-07-24T02:46:22-04:00,31,92,1020.12,0.8,1,1.2
2025-07-24T02:48:22-04:00,31,92,1020.17,0.7,1,1.1
2025-07-24T02:50:22-04:00,31,92,1020.13,0.4,1,1
2025-07-24T02:52:22-04:00,31,92,1020.1,0.3,0.5,0.5
2025-07-24T02:54:22-04:00,31,92,1020.12,0.1,0.4,0.6
2025-07-24T02:56:22-04:00,31,92,1020.09,0.4,1,1.2
2025-07-24T02:58:22-04:00,31,92,1020.08,0.5,1.3,1.9
2025-07-24T03:00:22-04:00,31,92,1020.07,0.2,0.4,0.4
2025-07-24T03:02:22-04:00,31,92,1020.07,0.2,0.4,0.6
2025-07-24T03:04:22-04:00,31,92,1020.06,0.3,0.8,0.8
2025-07-24T03:06:22-04:00,31,92,1020.02,0.4,0.6,0.8
