time_stamp,humidity,temperature,pressure,pm1.0_atm,pm2.5_atm,pm10.0_atm
2025-07-15T00:00:17-04:00,,,,4.9,7.1,8.1
2025-07-15T00:02:17-04:00,,,,4.2,5.9,7.4
2025-07-15T00:04:17-04:00,,,,4.8,6.5,8.2
2025-07-15T00:06:17-04:00,,,,4.7,6.4,7.6
2025-07-15T00:08:17-04:00,,,,4.4,6.4,7.9
2025-07-15T00:10:17-04:00,,,,5,7,7.9
2025-07-15T00:12:17-04:00,,,,4.6,7.1,8.2
2025-07-15T00:14:17-04:00,,,,4.2,6,7.2
2025-07-15T00:16:17-04:00,,,,3.7,5.4,6.4
2025-07-15T00:18:17-04:00,,,,3.8,5.2,6.6
2025-07-15T00:20:17-04:00,,,,3.2,4.8,6
2025-07-15T00:22:17-04:00,,,,3.3,5.1,5.6
2025-07-15T00:24:17-04:00,,,,3.8,5.5,6.9
2025-07-15T00:26:17-04:00,,,,3.8,5.6,7.2
2025-07-15T00:28:17-04:00,,,,3.5,4.8,6.6
2025-07-15T00:30:17-04:00,,,,3.6,5.6,7.5
2025-07-15T00:32:17-04:00,,,,3.5,5.5,7.5
2025-07-15T00:34:17-04:00,,,,4,5.7,7.2
2025-07-15T00:36:17-04:00,,,,4,5.9,7.5
2025-07-15T00:38:17-04:00,,,,3.1,4.5,5.7
2025-07-15T00:40:17-04:00,,,,2.7,4,5.1
2025-07-15T00:42:17-04:00,,,,2.5,3.9,4.5
2025-07-15T00:44:17-04:00,,,,2.2,3.1,4.3
2025-07-15T00:46:17-04:00,,,,1.6,2.8,3.8
2025-07-15T00:48:17-04:00,,,,1.6,2.7,4
2025-07-15T00:50:17-04:00,,,,1.8,2.6,3.7
2025-07-15T00:52:17-04:00,,,,1.3,2.2,3.6
2025-07-15T00:54:17-04:00,,,,1.2,2,3.1
2025-07-15T00:56:17-04:00,,,,1.5,2.2,2.6
2025-07-15T00:58:17-04:00,,,,1.5,2.4,3.4
2025-07-15T01:00:17-04:00,,,,1.1,1.8,2.6
2025-07-15T01:02:17-04:00,,,,0.6,1.3,2.4
2025-07-15T01:04:17-04:00,,,,0.5,1.3,2
2025-07-15T01:06:17-04:00,,,,0.7,1.3,2
2025-07-15T01:08:18-04:00,,,,0.5,0.8,1.8
2025-07-15T01:10:17-04:00,,,,0.4,0.8,1.3
2025-07-15T01:12:17-04:00,,,,0.2,0.7,1.3
2025-07-15T01:14:17-04:00,,,,0.7,1.4,1.7
2025-07-15T01:16:17-04:00,,,,0.3,0.6,1.5
2025-07-15T01:18:17-04:00,,,,0.3,0.6,1.4
2025-07-15T01:20:17-04:00,,,,0.4,0.8,1.2
2025-07-15T01:22:17-04:00,,,,0.3,0.7,1.5
2025-07-15T01:24:17-04:00,,,,0.2,0.6,0.9
2025-07-15T01:26:17-04:00,,,,0.1,0.5,1.2
2025-07-15T01:28:17-04:00,,,,0.1,0.7,1.3
2025-07-15T01:30:17-04:00,,,,0.1,0.7,1.8
2025-07-15T01:32:17-04:00,,,,0.3,0.5,1
2025-07-15T01:34:17-04:00,,,,0.4,0.8,1.4
2025-07-15T01:36:18-04:00,,,,0.7,1.5,2.1
2025-07-15T01:38:17-04:00,,,,0.2,0.6,1.4
2025-07-15T01:40:17-04:00,,,,0.3,0.5,1.3
2025-07-15T01:42:18-04:00,,,,0.2,0.7,1.2
2025-07-15T01:44:18-04:00,,,,0.5,0.9,1.3
2025-07-15T01:46:17-04:00,,,,0.2,0.6,0.9
2025-07-15T01:48:17-04:00,,,,0.6,0.8,1
2025-07-15T01:50:17-04:00,,,,1,1.8,2.4
2025-07-15T01:52:17-04:00,,,,1,1.7,2.5
2025-07-15T01:54:17-04:00,,,,0.9,1.5,2.4
2025-07-15T01:56:17-04:00,,,,0.7,1.4,1.5
2025-07-15T01:58:17-04:00,,,,0.6,1.5,2.3
2025-07-15T02:00:18-04:00,,,,0.5,1.2,1.7
2025-07-15T02:02:18-04:00,,,,0.4,1.1,1.8
2025-07-15T02:04:18-04:00,,,,0.6,1.1,1.8
2025-07-15T02:06:18-04:00,,,,0.9,1.6,2.7
2025-07-15T02:08:18-04:00,,,,0.7,1.2,1.8
2025-07-15T02:10:18-04:00,,,,0.5,0.8,1.7
2025-07-15T02:12:18-04:00,,,,0.9,1.6,2.1
2025-07-15T02:14:18-04:00,,,,0.9,1.6,2.3
2025-07-15T02:16:18-04:00,,,,0.6,1,1.7
2025-07-15T02:18:18-04:00,,,,0.5,0.8,1.3
2025-07-15T02:20:18-04:00,,,,0.6,1.1,2.1
2025-07-15T02:22:18-04:00,,,,0.7,1.1,1.5
2025-07-15T02:24:18-04:00,,,,0.6,1.2,1.9
2025-07-15T02:26:18-04:00,,,,0.6,1,2.2
2025-07-15T02:28:18-04:00,,,,0.8,1,2
2025-07-15T02:30:18-04:00,,,,0.8,1.5,2.7
2025-07-15T02:32:18-04:00,,,,0.8,1.3,2.3
2025-07-15T02:34:18-04:00,,,,0.6,1.5,3.1
2025-07-15T02:36:18-04:00,,,,1.2,1.9,2.7
2025-07-15T02:38:18-04:00,,,,0.7,1.2,1.8
2025-07-15T02:40:18-04:00,,,,0.9,1.3,2.3
2025-07-15T02:42:18-04:00,,,,0.8,1.2,1.7
2025-07-15T02:44:18-04:00,,,,0.6,1.4,2
2025-07-15T02:46:18-04:00,,,,0.8,1.4,1.8
2025-07-15T02:48:18-04:00,,,,0.5,0.9,1.7
2025-07-15T02:50:18-04:00,,,,0.9,1.4,2.3
2025-07-15T02:52:18-04:00,,,,1,1.7,2.6
2025-07-15T02:54:18-04:00,,,,0.9,1.4,2.4
2025-07-15T02:56:18-04:00,,,,1.2,1.9,3.1
2025-07-15T02:58:18-04:00,,,,1.2,1.9,1.9
2025-07-15T03:00:18-04:00,,,,1.1,2.1,2.4
2025-07-15T03:02:18-04:00,,,,1,2,2.6
2025-07-15T03:04:18-04:00,,,,1.7,2.7,3.5
2025-07-15T03:06:18-04:00,,,,2,3,3.3
2025-07-15T03:08:18-04:00,,,,2.2,3.3,3.9
2025-07-15T03:10:18-04:00,,,,2.1,3,3.6
2025-07-15T03:12:18-04:00,,,,2.1,2.9,3.4
2025-07-15T03:14:18-04:00,,,,2.4,3.8,4.8
2025-07-15T03:16:18-04:00,,,,2.6,3.9,5
2025-07-15T03:18:18-04:00,,,,3.1,4.2,5.6
2025-07-15T03:20:18-04:00,,,,2.7,4.2,4.8
2025-07-15T03:22:18-04:00,,,,2.7,4.3,5.6
2025-07-15T03:24:18-04:00,,,,3.3,5.1,6.5
2025-07-15T03:26:18-04:00,,,,3.6,5.5,6.3
2025-07-15T03:28:18-04:00,,,,4,5.5,6.5
2025-07-15T03:30:18-04:00,,,,4.4,6.6,8.4
2025-07-15T03:32:18-04:00,,,,4,5.9,6.8
2025-07-15T03:34:18-04:00,,,,4.8,7.1,8.7
2025-07-15T03:36:18-04:00,,,,5.8,9.2,10.7
2025-07-15T03:38:18-04:00,,,,5.7,8.1,9.1
2025-07-15T03:40:18-04:00,,,,5.9,8.3,9.4
2025-07-15T03:42:18-04:00,,,,5.8,8.4,9.9
2025-07-15T03:44:18-04:00,,,,5.8,8.8,10.7
2025-07-15T03:46:18-04:00,,,,6.2,9,10.6
2025-07-15T03:48:18-04:00,,,,5.8,9.5,10.4
2025-07-15T03:50:18-04:00,,,,6.1,8.7,10.5
2025-07-15T03:52:18-04:00,,,,5.7,8.4,10.2
2025-07-15T03:54:18-04:00,,,,5.8,8.4,10.6
2025-07-15T03:56:18-04:00,,,,6.2,8.9,10.2
2025-07-15T03:58:18-04:00,,,,5.8,8.9,10.8
2025-07-15T04:00:19-04:00,,,,6.4,9,10.3
2025-07-15T04:02:19-04:00,,,,6.8,9.8,11.3
2025-07-15T04:04:19-04:00,,,,6.8,9.4,11.4
2025-07-15T04:06:19-04:00,,,,6.4,9.7,11.3
2025-07-15T04:08:19-04:00,,,,6.3,9.8,11.5
2025-07-15T04:10:19-04:00,,,,7,10.2,12.6
2025-07-15T04:12:19-04:00,,,,7.1,10.6,13.2
2025-07-15T04:14:19-04:00,,,,7.1,10.7,12.9
2025-07-15T04:16:19-04:00,,,,6.3,9.9,12.1
2025-07-15T04:18:19-04:00,,,,5.9,9,11
2025-07-15T04:20:19-04:00,,,,6.3,9.6,11.5
2025-07-15T04:22:19-04:00,,,,6.3,9.3,10.8
2025-07-15T04:24:19-04:00,,,,6,9.6,11.1
2025-07-15T04:26:19-04:00,,,,6.8,9.8,12
2025-07-15T04:28:19-04:00,,,,7.1,10.4,13.8
2025-07-15T04:30:19-04:00,,,,6.5,10.1,11.9
2025-07-15T04:32:19-04:00,,,,6.1,9.8,12.4
2025-07-15T04:34:19-04:00,,,,6.4,9.8,11.8
2025-07-15T04:36:19-04:00,,,,5.9,8.5,10.5
2025-07-15T04:38:19-04:00,,,,6.3,9,11.8
2025-07-15T04:40:19-04:00,,,,5.6,8.9,10.4
2025-07-15T04:42:19-04:00,,,,5.9,9,10.8
2025-07-15T04:44:19-04:00,,,,5.7,8.3,9.7
2025-07-15T04:46:19-04:00,,,,6.2,9.1,11
2025-07-15T04:48:19-04:00,,,,6.2,9,11.8
2025-07-15T04:50:19-04:00,,,,5.6,9.1,11.2
2025-07-15T04:52:19-04:00,,,,6,9.4,11.4
2025-07-15T04:54:19-04:00,,,,5.7,9.3,10.8
2025-07-15T04:56:19-04:00,,,,6.4,9.5,11.6
2025-07-15T04:58:19-04:00,,,,5.9,8.1,10.7
2025-07-15T05:00:19-04:00,,,,5.3,8.2,10.7
2025-07-15T05:02:19-04:00,,,,5.3,7.5,9.1
2025-07-15T05:04:19-04:00,,,,5.7,8.9,11.4
2025-07-15T05:06:19-04:00,,,,5.4,7.9,9.5
2025-07-15T05:08:19-04:00,,,,5.4,8.5,11.1
2025-07-15T05:10:19-04:00,,,,5.3,8,10.8
2025-07-15T05:12:19-04:00,,,,5,7.4,9.9
2025-07-15T05:14:22-04:00,,,,5.4,8.4,9.4
2025-07-15T05:16:19-04:00,,,,5.2,8.1,9.9
