time_stamp,humidity,temperature,pressure,pm1.0_atm,pm2.5_atm,pm10.0_atm
2025-07-15T00:00:28-04:00,36,90,1016.98,0.3,0.6,0.7
2025-07-15T00:02:28-04:00,36,90,1016.98,0.3,0.4,0.5
2025-07-15T00:04:28-04:00,36,90,1016.98,0.1,0.2,0.4
2025-07-15T00:06:28-04:00,36,90,1016.96,0.3,0.6,0.6
2025-07-15T00:08:28-04:00,36,90,1017,0.4,0.6,0.9
2025-07-15T00:10:28-04:00,36,90,1017.02,0.3,0.5,0.5
2025-07-15T00:12:28-04:00,36,90,1017.01,0.2,0.6,0.8
2025-07-15T00:14:28-04:00,36,90,1017.04,0,0.4,0.7
2025-07-15T00:16:28-04:00,36,90,1017.08,0.4,0.7,1
2025-07-15T00:18:28-04:00,36,90,1017.12,0.2,0.5,0.7
2025-07-15T00:20:28-04:00,36,90,1017.16,0.2,0.5,0.9
2025-07-15T00:22:28-04:00,36,90,1017.12,0,0.2,0.7
2025-07-15T00:24:28-04:00,36,90,1017.14,0.2,0.4,0.8
2025-07-15T00:26:28-04:00,36,90,1017.16,0.1,0.5,0.8
2025-07-15T00:28:28-04:00,36,90,1017.18,0.1,0.3,0.6
2025-07-15T00:30:28-04:00,36,90,1017.16,0,0.1,0.3
2025-07-15T00:32:28-04:00,36,90,1017.18,0,0.1,0.2
2025-07-15T00:34:28-04:00,36,90,1017.16,0.3,0.5,0.7
2025-07-15T00:36:28-04:00,36,90,1017.14,0.5,0.9,1.5
2025-07-15T00:38:28-04:00,36,90,1017.13,0.5,0.8,1.1
2025-07-15T00:40:28-04:00,36,90,1017.15,0.2,0.5,1
2025-07-15T00:42:28-04:00,36,90,1017.18,0.5,0.8,0.9
2025-07-15T00:44:28-04:00,36,90,1017.19,0.5,0.8,1.4
2025-07-15T00:46:28-04:00,36,90,1017.21,0.4,0.7,0.9
2025-07-15T00:48:28-04:00,36,90,1017.18,0.6,1,1.2
2025-07-15T00:50:28-04:00,36,90,1017.24,0.3,0.8,1
2025-07-15T00:52:28-04:00,36,90,1017.26,0.5,0.9,0.9
2025-07-15T00:54:28-04:00,36,90,1017.34,0.6,0.9,1.1
2025-07-15T00:56:28-04:00,36,90,1017.38,0.5,0.7,0.8
2025-07-15T00:58:28-04:00,36,90,1017.42,0.5,0.8,1
2025-07-15T01:00:28-04:00,36,90,1017.46,0.3,0.6,0.7
2025-07-15T01:02:28-04:00,36,90,1017.43,0.8,1.1,1.5
2025-07-15T01:04:28-04:00,36,90,1017.44,0.4,0.7,1
2025-07-15T01:06:28-04:00,36,90,1017.45,0.5,0.9,1.1
2025-07-15T01:08:28-04:00,36,90,1017.45,0.8,1.1,1.5
2025-07-15T01:10:28-04:00,37,90,1017.45,0.7,1.1,1.3
2025-07-15T01:12:28-04:00,36,90,1017.43,0.4,0.9,1.5
2025-07-15T01:14:29-04:00,36,90,1017.4,0.7,1.1,1.7
2025-07-15T01:16:29-04:00,36,90,1017.35,0.9,1.2,1.3
2025-07-15T01:18:28-04:00,37,90,1017.32,0.4,0.9,1.1
2025-07-15T01:20:28-04:00,37,90,1017.31,0.7,1.1,1.2
2025-07-15T01:22:28-04:00,37,90,1017.37,0.6,1.2,1.4
2025-07-15T01:24:28-04:00,36,90,1017.38,0.6,1,1.3
2025-07-15T01:26:28-04:00,36,90,1017.34,0.6,0.8,1
2025-07-15T01:28:28-04:00,37,90,1017.32,0.6,1.1,1.4
2025-07-15T01:30:29-04:00,36,90,1017.36,0.7,1,1.5
2025-07-15T01:32:28-04:00,36,90,1017.32,0.5,0.9,1.1
2025-07-15T01:34:28-04:00,37,90,1017.27,0.8,1.2,1.6
2025-07-15T01:36:28-04:00,36,90,1017.22,0.6,1,1.4
