time_stamp,humidity,temperature,pressure,pm1.0_atm,pm2.5_atm,pm10.0_atm
2025-07-16T00:01:18-04:00,55,89,1014.98,2.5,4,4.1
2025-07-16T00:03:32-04:00,55,89,1015.09,2.8,4.3,4.4
2025-07-16T00:05:18-04:00,55,89,1015.1,2.6,3.8,4.1
2025-07-16T00:07:17-04:00,55,89,1014.98,2.5,4,4.3
2025-07-16T00:09:52-04:00,55,89,1014.99,2.5,4.5,5.1
2025-07-16T00:13:22-04:00,55,89,1015.07,2.7,4.1,4.3
2025-07-16T00:17:19-04:00,56,89,1015.01,2.3,3.9,4.3
2025-07-16T00:19:22-04:00,56,89,1014.99,2.3,3.8,3.9
2025-07-16T00:21:28-04:00,56,89,1014.95,3,4.4,4.7
2025-07-16T00:25:20-04:00,56,89,1014.92,3.1,4.8,5
2025-07-16T00:27:25-04:00,56,89,1015.13,3.3,5.1,5.5
2025-07-16T00:29:18-04:00,56,89,1014.99,2.5,4,4.3
2025-07-16T00:31:22-04:00,56,89,1015.11,2.6,4.2,4.5
2025-07-16T00:33:17-04:00,55,89,1015.01,2.7,4.5,4.9
2025-07-16T00:35:18-04:00,56,89,1014.98,2.6,4.2,4.8
2025-07-16T00:37:18-04:00,55,89,1014.98,3,4.8,5.2
2025-07-16T00:41:30-04:00,56,89,1014.91,2.7,4.7,5.2
2025-07-16T00:43:23-04:00,56,89,1014.88,2.8,4.4,4.7
2025-07-16T00:45:33-04:00,56,84,1010.69,2.7,4.5,4.6
2025-07-16T00:49:18-04:00,56,88,1014.89,3,4.4,4.7
2025-07-16T00:51:18-04:00,56,88,1014.92,3.2,5.1,5.7
2025-07-16T00:53:28-04:00,56,88,1014.87,3.3,4.4,4.7
2025-07-16T00:55:18-04:00,56,88,1014.88,3.2,4.6,5.2
2025-07-16T00:57:18-04:00,56,88,1014.84,3,5.2,5.4
2025-07-16T00:59:18-04:00,56,88,1014.88,3.2,4.6,4.8
2025-07-16T01:01:18-04:00,56,88,1014.86,3.3,4.8,5.3
2025-07-16T01:03:18-04:00,56,88,1014.83,2.8,4.4,4.7
2025-07-16T01:05:18-04:00,56,88,1014.8,2.9,4.6,4.9
2025-07-16T01:07:20-04:00,56,88,1014.8,3.3,4.8,5.3
2025-07-16T01:09:20-04:00,57,88,1014.79,3.2,4.7,4.8
2025-07-16T01:11:18-04:00,57,88,1014.84,3.5,5.3,6
2025-07-16T01:13:23-04:00,57,88,1014.89,3.3,5,5.4
2025-07-16T01:15:27-04:00,57,88,1014.87,3.4,5.6,6.2
2025-07-16T01:17:21-04:00,57,88,1014.89,3.3,5.4,5.6
2025-07-16T01:19:25-04:00,57,88,1014.82,3.2,5.1,5.7
2025-07-16T01:21:20-04:00,57,88,1014.88,3.6,5.5,5.7
2025-07-16T01:23:18-04:00,57,88,1014.88,3.7,5.7,5.8
2025-07-16T01:25:21-04:00,57,88,1014.87,3.2,5.3,5.6
2025-07-16T01:27:18-04:00,57,88,1014.87,3.1,4.8,5.5
2025-07-16T01:29:27-04:00,57,88,1014.86,3.2,5,5.3
2025-07-16T01:33:22-04:00,57,88,1014.87,4.2,6.6,6.8
2025-07-16T01:35:21-04:00,57,88,1014.85,3.4,5.2,5.5
2025-07-16T01:41:20-04:00,57,88,1014.75,3.6,6,6.5
2025-07-16T01:43:20-04:00,57,88,1015.01,3,5.4,5.8
2025-07-16T01:45:18-04:00,57,88,1015.03,4.1,6.8,7.7
2025-07-16T01:47:18-04:00,57,88,1015.02,3.8,5.6,5.8
2025-07-16T01:49:18-04:00,57,88,1015.03,3.8,6,6.2
2025-07-16T01:57:18-04:00,57,88,1013.87,3.6,6.3,6.9
2025-07-16T01:59:21-04:00,57,88,1015.13,3.7,5.8,6.2
2025-07-16T02:01:20-04:00,57,88,1015.13,3.8,6.4,6.8
2025-07-16T02:03:18-04:00,57,88,1015.14,4.4,6.4,6.7
2025-07-16T02:05:19-04:00,57,88,1015.16,7.2,11.6,12.4
2025-07-16T02:07:20-04:00,57,88,1015.19,4.6,6.9,7
2025-07-16T02:09:18-04:00,57,88,1015.15,3.4,6.3,6.6
2025-07-16T02:11:20-04:00,57,86,1013.71,3.4,5.6,5.7
2025-07-16T02:13:21-04:00,57,88,1015.16,4.3,6.1,6.4
2025-07-16T02:15:18-04:00,57,88,1015.13,4.1,6,6
2025-07-16T02:17:18-04:00,57,88,1015.16,3.9,6,6.1
2025-07-16T02:19:21-04:00,57,88,1015.11,4.2,6.5,7
2025-07-16T02:21:20-04:00,57,88,1015.18,4.2,6.7,7.2
2025-07-16T02:23:19-04:00,57,88,1015.1,3.6,5.9,6.2
2025-07-16T02:25:18-04:00,57,88,1015.2,3.9,6,6.3
2025-07-16T02:27:18-04:00,57,88,1015.1,4.2,6.2,6.5
2025-07-16T02:29:18-04:00,57,88,1015.18,4.2,6.4,6.7
2025-07-16T02:31:19-04:00,57,88,1015.32,3.8,6.2,6.4
2025-07-16T02:33:18-04:00,57,88,1015.26,3.8,5.9,6.4
2025-07-16T02:35:19-04:00,57,88,1015.23,3.8,5.9,6.5
2025-07-16T02:37:34-04:00,57,88,1015.24,4.2,6.8,7.1
2025-07-16T02:39:21-04:00,57,88,1015.28,3.6,6.2,6.6
2025-07-16T02:41:18-04:00,57,88,1015.24,3.4,6.2,6.3
2025-07-16T02:43:18-04:00,57,88,1015.22,4,6.3,6.8
2025-07-16T02:45:19-04:00,57,88,1015.31,4.1,6.2,6.5
2025-07-16T02:47:19-04:00,57,88,1015.1,3.7,5.9,6.2
2025-07-16T02:49:18-04:00,57,88,1015.26,4.1,5.7,5.9
2025-07-16T02:51:18-04:00,57,88,1015.29,4.1,6.6,6.8
2025-07-16T02:53:19-04:00,57,88,1015.19,4.1,6.3,6.7
2025-07-16T02:55:20-04:00,57,88,1015.19,4.3,6.4,6.6
2025-07-16T02:57:18-04:00,57,88,1015.15,4.2,6.6,6.7
2025-07-16T02:59:19-04:00,57,88,1015.15,3.9,6.3,6.7
2025-07-16T03:01:18-04:00,57,88,1015.2,4.1,6.4,6.8
2025-07-16T03:03:18-04:00,57,88,1015.13,3.9,6,6.4
2025-07-16T03:05:18-04:00,58,88,1015.14,4,6.4,7
2025-07-16T03:07:20-04:00,58,88,1015.15,4.1,6.1,6.8
2025-07-16T03:09:19-04:00,57,82,1010.2,3.6,6.5,7
2025-07-16T03:11:19-04:00,58,88,1015.21,3.6,5.8,6.2
2025-07-16T03:13:18-04:00,58,88,1015.13,4.2,6.4,6.9
2025-07-16T03:15:18-04:00,58,88,1015.11,3.8,6.3,6.5
2025-07-16T03:17:18-04:00,58,88,1015.13,4,6,6.3
2025-07-16T03:19:19-04:00,58,88,1015.1,4.5,6.7,7.1
2025-07-16T03:21:18-04:00,58,88,1015.06,4,6.7,7.1
2025-07-16T03:23:18-04:00,58,88,1015.05,4.2,6.4,6.9
2025-07-16T03:25:18-04:00,58,88,1015.04,4.2,6.8,7.5
2025-07-16T03:27:18-04:00,58,88,1015.12,4.1,6.5,6.8
2025-07-16T03:29:19-04:00,58,88,1015.05,4.3,6.4,6.8
2025-07-16T03:31:18-04:00,58,88,1015.1,4.3,6.7,7.2
2025-07-16T03:33:19-04:00,58,88,1015.09,4.2,6.4,7.3
2025-07-16T03:35:19-04:00,58,87,1015.07,4.3,7,7.3
2025-07-16T03:37:19-04:00,58,87,1015.11,4.1,6.1,6.1
2025-07-16T03:39:22-04:00,58,87,1015.09,4.5,6.6,6.9
2025-07-16T03:41:19-04:00,58,87,1015.08,4.3,6.6,6.7
2025-07-16T03:43:19-04:00,58,87,1015.1,4,6.6,7.1
2025-07-16T03:45:19-04:00,58,87,1015.06,4.1,6.3,6.5
2025-07-16T03:47:19-04:00,58,87,1015.15,3.7,5.4,6.1
2025-07-16T03:49:19-04:00,58,80,1008.86,3.8,5.8,6.1
2025-07-16T03:51:19-04:00,58,87,1015.1,4,6.3,6.8
2025-07-16T03:53:19-04:00,58,87,1015.08,4.3,7.2,7.5
2025-07-16T03:55:19-04:00,58,87,1015.01,4.4,7.4,7.8
2025-07-16T03:57:19-04:00,58,87,1014.88,4.1,6.2,6.5
2025-07-16T03:59:22-04:00,58,87,1014.98,4.3,6.7,7.3
2025-07-16T04:01:19-04:00,58,87,1015,4.2,6.5,6.9
2025-07-16T04:03:19-04:00,58,87,1015,3.9,6.2,6.7
2025-07-16T04:05:19-04:00,58,87,1015,3.7,5.8,6
2025-07-16T04:07:19-04:00,59,87,1015.01,4.5,7,7.4
2025-07-16T04:09:19-04:00,58,87,1015.05,3.9,5.7,6.4
2025-07-16T04:11:19-04:00,59,87,1014.99,3.9,6.7,7.2
2025-07-16T04:13:21-04:00,59,87,1014.95,3.7,5.8,6.5
2025-07-16T04:15:19-04:00,59,87,1014.95,4,6.5,6.8
2025-07-16T04:17:19-04:00,59,87,1014.96,3.4,5.9,6.3
